tna_reference,start_year
MEPO6/1,1881
MEPO6/2,1889
MEPO6/3,1891
MEPO6/4,1892
MEPO6/5,1893
MEPO6/6,1894
MEPO6/7,1895
MEPO6/8,1896
MEPO6/9,1898
MEPO6/10,1899
MEPO6/12a,1900
MEPO6/12b,1901
MEPO6/13,1902
MEPO6/14,1903
MEPO6/15,1904
MEPO6/16,1905
MEPO6/17,1906
MEPO6/18,1907
MEPO6/19,1908
MEPO6/20,1909
MEPO6/21,1910
MEPO6/22,1911
MEPO6/23,1912
MEPO6/25,1913
MEPO6/26,1914
MEPO6/27,1915
MEPO6/28,1916
MEPO6/29,1917
MEPO6/30,1918
MEPO6/31,1919
MEPO6/32,1920
MEPO6/33,1921
MEPO6/34,1922
MEPO6/35,1923
MEPO6/36,1924
MEPO6/37,1925
